bin,count,mean_y,win_rate,avg_win,avg_loss
1,35579,-0.033147946713468865,0.2360662188369544,0.04617461821838765,-0.0576597282757449
2,35578,-0.007893844666955276,0.34785541626848054,0.03707259215745973,-0.03187904517290132
3,35578,-0.0021124660464230385,0.39965709146101525,0.03325127761347227,-0.025654629588726115
4,35578,0.004080465135803612,0.4516555174546068,0.040733771668099175,-0.026109805132660042
5,35578,0.048967815379196596,0.5951149586823318,0.10443617760728646,-0.03256162810954666
