date,market_state_index,market_state_stock,adx14,s1_entry,s1_reason,s1_stop,s1_pos,s2_entry,s2_reason,s2_stop,s2_pos,s3_long_entry,s3_reason,s3_stop,s3_pos,s4_pyramid,s4_reason,ema20,ema50,ema200,macd_dif,macd_dea,macd_hist,rsi14,atr14,obv,boll_mid,boll_up,boll_low,boll_bw,plus_di14,minus_di14,psar,close,open,symbol,strategy,confidence,entry_price_ref,stop_ref,pos_ref,key_notes
2025-09-04,neutral,range,16.42279062454467,0,,9.48742857142857,0.07999096657633241,0,,10.427571428571428,0.14398373983739834,1,mean_revert_long: rsi_low & near_lower_band,9.698285714285714,0.1199864498644986,0,,10.705025198662584,10.68395836453684,,-0.11118559002292194,0.00024063228926983883,-0.11142622231219178,31.57894736842104,0.35142857142857153,119353593.0,10.779,11.441273595872195,10.116726404127805,0.12288219609837556,15.24390243902435,25.609756097561,11.406171359743999,10.12,10.23,503,S3,8,,9.698285714285714,0.1199864498644986,mean_revert_long: rsi_low & near_lower_band
2025-09-04,neutral,range,18.430136389855697,0,,6.1574285714285715,0.08991331757289212,0,,6.683071428571429,0.1618439716312058,1,mean_revert_long: rsi_low & near_lower_band,6.2782857142857145,0.13486997635933817,0,,6.863380509508863,7.044761985425816,,-0.10747605874125377,-0.07478628417991834,-0.03268977456133543,30.252100840336098,0.20142857142857126,-473796145.0,6.8845,7.178830641143177,6.590169358856823,0.08550530645455072,15.602836879432683,23.75886524822697,7.069078022304,6.52,6.6,525,S3,9,,6.2782857142857145,0.13486997635933817,mean_revert_long: rsi_low & near_lower_band
2025-09-04,neutral,range,11.632560661208045,0,,5.322857142857143,0.10850000000000001,0,,5.611642857142856,0.19530000000000003,1,mean_revert_long: rsi_low & near_lower_band,5.408571428571428,0.16275000000000003,0,,5.746776280734343,5.71236308791591,,-0.0519314642146691,-0.024737443523556567,-0.02719402069111253,30.434782608695713,0.14285714285714285,187954697.0,5.754499999999999,5.94205771041695,5.566942289583048,0.06518644901101783,14.999999999999991,31.999999999999986,5.82,5.58,5.64,597,S3,5,,5.408571428571428,0.16275000000000003,mean_revert_long: rsi_low & near_lower_band
2025-09-04,neutral,range,14.48393446521193,0,,23.36342857142857,0.07112647582079892,0,,27.201071428571424,0.12802765647743808,1,mean_revert_long: rsi_low & near_lower_band,23.95228571428571,0.1066897137311984,0,,27.988014038543486,27.75565416098114,,-0.2966943936955211,0.05231633583727966,-0.34901072953280077,31.542699724517902,0.9814285714285719,552507846.0,28.182499999999997,30.2233963459071,26.141603654092894,0.1448343011377347,19.432314410480355,35.29839883551671,29.3086,25.13,25.8,768,S3,7,,23.95228571428571,0.1066897137311984,mean_revert_long: rsi_low & near_lower_band
2025-09-04,neutral,range,16.52622044313224,0,,22.800857142857144,0.07673948220064727,0,,24.882642857142862,0.1381310679611651,1,mean_revert_long: rsi_low & near_lower_band,23.330571428571428,0.11510922330097091,0,,25.427237231796695,24.882631010290392,,-0.015250015258278182,0.25917709023108704,-0.2744271054893652,23.210412147505437,0.8828571428571426,34332095.0,25.765500000000003,27.229847887915238,24.301152112084768,0.1136673371691009,16.90938511326864,28.236245954692585,27.185036846175997,24.39,24.73,1367,S3,8,,23.330571428571428,0.11510922330097091,mean_revert_long: rsi_low & near_lower_band
2025-09-04,neutral,range,16.187086752423692,0,,7.151142857142856,0.09245283018867917,0,,7.7403571428571425,0.1664150943396225,1,mean_revert_long: rsi_low & near_lower_band,7.2874285714285705,0.13867924528301875,0,,7.8844975092440075,7.829163601538346,,-0.08966507532655932,-0.020628776113180872,-0.06903629921337845,30.370370370370367,0.2271428571428573,113058933.0,7.967499999999999,8.438014835607028,7.496985164392971,0.1181085247836909,20.440251572327067,35.2201257861635,8.19673546227712,7.56,7.63,2038,S3,8,,7.2874285714285705,0.13867924528301875,mean_revert_long: rsi_low & near_lower_band
2025-09-04,neutral,range,19.995707328658494,0,,9.856,0.062037037037037016,0,,10.942499999999999,0.11166666666666664,1,mean_revert_long: rsi_low & near_lower_band,10.144,0.09305555555555553,0,,11.243627006370923,11.063263851005248,,-0.08429798705913782,0.0545928778302648,-0.1388908648894026,33.54430379746837,0.48000000000000015,150354112.0,11.4225,12.193688419873743,10.651311580126256,0.13502970801028555,13.988095238095225,21.428571428571438,11.742511669661912,10.72,10.52,2068,S3,9,,10.144,0.09305555555555553,mean_revert_long: rsi_low & near_lower_band
2025-09-04,neutral,range,17.991736078552822,0,,7.614285714285714,0.08503003003002998,0,,8.428214285714287,0.15305405405405398,1,mean_revert_long: rsi_low & near_lower_band,7.772857142857142,0.127545045045045,0,,8.597046784356229,8.606464890481586,,-0.1410992823648929,-0.05371762645274725,-0.08738165591214564,21.794871794871767,0.2642857142857144,-13823583.0,8.6925,9.249781937527795,8.135218062472207,0.12822132586201754,10.540540540540551,29.999999999999993,8.820167770197521,8.09,8.18,2073,S3,8,,7.772857142857142,0.127545045045045,mean_revert_long: rsi_low & near_lower_band
2025-09-04,neutral,range,13.943200322811405,0,,4.858285714285714,0.10549645390070912,0,,5.227214285714285,0.1898936170212764,1,mean_revert_long: rsi_low & near_lower_band,4.938857142857143,0.1582446808510637,0,,5.328278243465984,5.290427582724081,,-0.07068901262007543,-0.02312295596804213,-0.0475660566520333,33.33333333333326,0.1342857142857144,619955445.0,5.3614999999999995,5.6362074999455105,5.0867925000544885,0.10247412102788811,18.0851063829787,22.87234042553188,5.558892513791999,5.1,5.06,2398,S3,6,,4.938857142857143,0.1582446808510637,mean_revert_long: rsi_low & near_lower_band
2025-09-04,neutral,range,16.247098780793557,0,,6.704999999999999,0.11142857142857142,0,,7.316,0.2,1,mean_revert_long: rsi_low & near_lower_band,6.81,0.16714285714285712,0,,7.42963618575691,7.553088155555467,,-0.15824996412274395,-0.09415290456461645,-0.0640970595581275,24.999999999999957,0.17500000000000002,-4254273.0,7.491,7.947711356501995,7.034288643498004,0.12193601828914574,16.326530612244873,33.87755102040816,7.65923521792,7.02,6.97,2440,S3,8,,6.81,0.16714285714285712,mean_revert_long: rsi_low & near_lower_band
