range,code,event_date,y_prob,y_pred,close_t,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,
"[0.85,1.00]",600684,7/31/25,0.89356816,1,5.42,4.88,4.53,4.54,4.5,4.48,0
"[0.85,1.00]",600698,6/25/25,0.87694055,1,7.92,8.71,8.27,9.1,9.53,10.15,1
"[0.85,1.00]",600698,6/26/25,0.8944061,1,8.71,8.27,9.1,9.53,10.15,9.75,1
"[0.85,1.00]",600698,6/27/25,0.86415833,1,8.27,9.1,9.53,10.15,9.75,10.01,1
"[0.85,1.00]",600698,6/30/25,0.87059677,1,9.1,9.53,10.15,9.75,10.01,11.01,1
"[0.85,1.00]",600698,7/1/25,0.8647351,1,9.53,10.15,9.75,10.01,11.01,11.7,1
"[0.85,1.00]",600698,7/7/25,0.88185644,1,11.01,11.7,11.66,11.01,10.69,10.36,1
"[0.85,1.00]",600698,8/5/25,0.86928886,1,11.89,13.08,13.43,,,,1
"[0.85,1.00]",600698,8/6/25,0.8720778,1,13.08,13.43,,,,,1
"[0.85,1.00]",600706,6/11/25,0.9003163,1,11.92,11.12,10.23,9.82,9.66,9.53,0
"[0.85,1.00]",600714,6/16/25,0.8899939,1,13.23,12.63,13,14.3,12.87,13.45,1
"[0.85,1.00]",600714,6/19/25,0.8655386,1,14.3,12.87,13.45,12.11,12.13,11.76,0
"[0.85,1.00]",600722,6/16/25,0.9272013,1,6.34,6.97,7.67,8.15,7.34,7.76,1
"[0.85,1.00]",600722,6/17/25,0.8690179,1,6.97,7.67,8.15,7.34,7.76,6.98,1
"[0.85,1.00]",600722,6/18/25,0.907206,1,7.67,8.15,7.34,7.76,6.98,6.44,1
"[0.85,1.00]",600722,6/23/25,0.87852204,1,7.76,6.98,6.44,6.6,6.28,6.37,0
"[0.85,1.00]",600722,6/25/25,0.8845542,1,6.44,6.6,6.28,6.37,6.36,6.35,1
"[0.85,1.00]",600743,6/27/25,0.8618356,1,2.31,2.27,2.24,2.23,2.24,2.23,0
"[0.85,1.00]",600744,7/1/25,0.8671717,1,4.96,5.04,5.54,6.09,6.7,7.37,1
