date,market_state_index,market_state_stock,adx14,s1_entry,s1_reason,s1_stop,s1_pos,s2_entry,s2_reason,s2_stop,s2_pos,s3_long_entry,s3_reason,s3_stop,s3_pos,s4_pyramid,s4_reason,ema20,ema50,ema200,macd_dif,macd_dea,macd_hist,rsi14,atr14,obv,boll_mid,boll_up,boll_low,boll_bw,plus_di14,minus_di14,psar,close,open,code,bucket_id,symbol,strategy,confidence,entry_price_ref,stop_ref,pos_ref,key_notes
2025-07-01,neutral,neutral,23.165981496949097,0,,3.2697,0.11377245508982038,1,squeeze_breakout & adx_rising & obv_confirm,3.0372,0.2,0,,3.2922,0.13380281690140847,0,,3.1269970310333153,3.158189044231047,2.9356438384049084,0.007098615915555051,-0.020229945515011408,0.02732856143056646,68.65671641791042,0.08999999999999998,1654023870.0,3.1155,3.284767772914311,2.9462322270856887,0.1086617062521658,34.92063492063492,16.666666666666668,2.93,3.42,3.12,56,B1,56,S2,21,,3.0372,0.2,squeeze_breakout & adx_rising & obv_confirm
2025-07-01,neutral,trend,31.422821405011593,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,5.14524724185,0.0670278845739365,0,,5.18333280385,0.1286627209637632,0,,5.2073359781,0.07882856847779858,0,,5.386558196376459,5.291156149239783,4.89391981485949,0.01813971071421694,0.010172763928249904,0.007966946785967035,52.61268576717728,0.24835494499999994,568112021.0,5.399401606,5.668302392147422,5.130500819852577,0.09960392123772029,16.398926256819372,18.099026145250082,5.06752,5.56,5.37,59,B1,59,S1,20,,5.14524724185,0.0670278845739365,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
2025-07-01,neutral,trend,25.13777052171998,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,14.974607142857142,0.17696661471577368,0,,15.146178571428573,0.2,0,,15.039785714285713,0.2,0,,15.378060313598766,15.310770418487673,14.770778043846512,0.0700827828217836,0.06854124846601095,0.0015415343557726446,53.0054644808743,0.2607142857142861,1586987894.0,15.373000000000001,15.730835598829586,15.015164401170416,0.046553775948687266,24.657534246575363,18.356164383561662,15.21845645568,15.41,15.39,338,B1,338,S1,17,,14.974607142857142,0.17696661471577368,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
2025-07-01,neutral,range,15.6541521818406,0,,6.468585714285714,0.14476202234705848,1,squeeze_breakout & adx_rising & obv_confirm,6.108442857142857,0.2,0,,6.503228571428572,0.17024829388703358,0,,6.276190435618716,6.310518163579238,5.997525280498154,0.02845574861031963,-0.028061317078055478,0.05651706568837511,70.37037037037037,0.13857142857142854,1651184471.0,6.229,6.513246001684605,5.944753998315395,0.09126537218963073,39.17525773195876,18.556701030927854,5.94999208,6.7,6.39,541,B1,541,S2,17,,6.108442857142857,0.2,squeeze_breakout & adx_rising & obv_confirm
2025-07-01,neutral,trend,31.01142319614116,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,2.551907142857143,0.11304663400471777,0,,2.5859785714285715,0.2,0,,2.569585714285714,0.13294921041399907,0,,2.6559541165269507,2.636799645735803,2.4178934403413814,0.009822757452534248,0.007935154646204068,0.00188760280633018,59.57446808510635,0.07071428571428576,3128487087.0,2.6475,2.7383150231021536,2.5566849768978464,0.06860436117254286,37.373737373737406,13.131313131313112,2.5216202496,2.67,2.69,793,B1,793,S1,20,,2.551907142857143,0.11304663400471777,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
2025-07-01,neutral,neutral,24.608741470613364,0,,5.498785714285715,0.2,1,squeeze_breakout & adx_rising & obv_confirm,5.475642857142857,0.2,0,,5.518428571428571,0.2,0,,5.552128246223377,5.5519283471470455,5.50486555811846,0.012813750296198023,0.002373763593873912,0.01043998670232411,58.69565217391303,0.07857142857142842,256393061.0,5.544,5.61922597535708,5.4687740246429195,0.02713779774786439,24.545454545454636,10.909090909090859,5.654183125419628,5.63,5.6,930,B1,930,S2,22,,5.475642857142857,0.2,squeeze_breakout & adx_rising & obv_confirm
2025-07-01,neutral,range,9.893876068048232,0,,15.856873357514289,0.2,1,squeeze_breakout & adx_rising & obv_confirm,15.644609767657144,0.2,0,,15.906742615371432,0.2,0,,15.846929716497856,15.782753839343899,15.81568530692216,0.014159970261772514,-0.020424513439066542,0.03458448370083905,61.0178413459334,0.1994770314285705,155941161.0,15.818154785,16.083248896045284,15.55306067395472,0.03351770350567875,26.092717642064066,20.333483865045373,15.52136059631104,16.19,15.91,2039,B1,2039,S2,14,,15.644609767657144,0.2,squeeze_breakout & adx_rising & obv_confirm
2025-07-01,neutral,trend,25.417149939906015,0,,9.621811014785713,0.16633746536397445,1,squeeze_breakout & adx_rising & obv_confirm,9.342104773142855,0.2,0,,9.666450084428572,0.1956222303928432,1,trend_momo_volume: +DI>-DI & ADX↑ & CCI/ROC & OBV_breakout,9.556845283143828,9.566263648021803,9.6656116200529,0.06821946612394036,0.013997321612126324,0.05422214451181404,69.17283918968364,0.17855627857142878,1020243194.0,9.497448735499999,9.847878567477537,9.147018903522461,0.07379451929394153,33.60285086586742,10.80087514624738,9.32963843968,9.92,9.75,2079,B1,2079,S2,22,,9.342104773142855,0.2,squeeze_breakout & adx_rising & obv_confirm
2025-07-01,neutral,trend,28.958767414936244,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,4.400614285714285,0.13489921565320032,0,,4.396257142857143,0.2,0,,4.425971428571429,0.15864907756397503,0,,4.53961942863033,4.599710730424687,4.405009858731238,-0.007588358460773215,-0.03735721201518693,0.029768853554413714,56.944444444444485,0.10142857142857167,1889255829.0,4.484500000000001,4.668316269825698,4.3006837301743035,0.0819784902779338,24.647887323943575,15.492957746478817,4.397548956999681,4.57,4.61,2183,B1,2183,S1,19,,4.400614285714285,0.13489921565320032,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
2025-07-01,neutral,trend,40.5277024506317,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,13.297485714285715,0.0899664086461224,0,,13.272842857142857,0.1726941407345108,0,,13.414628571428572,0.10580556509790451,0,,13.876091492800917,13.963217479398885,11.663878902791529,-0.040504556634488154,-0.19772512059302494,0.15722056395853679,54.722222222222214,0.4685714285714286,1131443587.0,13.6805,14.693790107573523,12.667209892426477,0.1481364142499942,36.28048780487803,20.88414634146343,13.205065952767999,14.08,14.5,2276,B1,2276,S1,25,,13.297485714285715,0.0899664086461224,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
2025-07-01,neutral,trend,43.735993904633304,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,10.619557142857143,0.12031894759703395,0,,10.625365591428572,0.2,0,,10.688485714285715,0.1415018609063709,0,,10.952242125918428,10.836665158454824,9.376402889345634,-0.05543593044107098,-0.09787186336897438,0.0424359329279034,53.03030303030301,0.2757142857142857,953793858.0,10.86523702,11.385160270961624,10.345313769038377,0.09570398694562916,23.83419689119176,20.72538860103629,10.3976676416,11.08,11.0,2284,B1,2284,S1,26,,10.619557142857143,0.12031894759703395,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
2025-07-01,neutral,trend,53.05999436409287,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,2.285028571428571,0.11384050081654852,0,,2.2873142857142854,0.2,0,,2.300742857142857,0.13388284250960286,0,,2.3463997516166644,2.364215976357681,2.2540974572317,0.0002822462501055334,-0.004886699408767171,0.005168945658872704,56.66666666666668,0.06285714285714297,1944638605.0,2.3419999999999996,2.4074056170128606,2.2765943829871387,0.05585449787605548,34.09090909090911,10.227272727272743,2.4748853237900796,2.39,2.36,2321,B1,2321,S1,31,,2.285028571428571,0.11384050081654852,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
2025-07-01,neutral,trend,26.813851321535772,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,4.628144814321429,0.07920342881666313,0,,4.6481898005357145,0.15203416795842237,0,,4.674829722357143,0.09314769445339961,0,,4.81676619575785,4.778620124939783,4.5710745384055,0.056973908427814024,0.03847070313873749,0.018503205289076535,56.4998620224869,0.1867396321428572,1489624032.0,4.8106532805,5.085916004328621,4.53539055667138,0.11443881226876154,28.656912813499634,17.97766665072263,4.5266867298880005,4.94,4.93,2398,B1,2398,S1,18,,4.628144814321429,0.07920342881666313,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
2025-07-01,neutral,trend,46.637952945361626,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,11.669514285714286,0.08598366181544195,0,,11.860657142857143,0.16504909796757247,0,,11.77737142857143,0.10112163044492117,0,,12.272177894919162,12.039728643230104,11.37263586450769,0.18722049685675124,0.16959219037949078,0.017628306477260464,58.22784810126581,0.4314285714285715,924571493.0,12.236,12.79466005104338,11.677339948956622,0.0913141632957468,33.27814569536426,13.741721854304606,13.47,12.39,12.4,2457,B1,2457,S1,28,,11.669514285714286,0.08598366181544195,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
2025-07-01,neutral,trend,26.025130334370797,0,,6.066478571428572,0.14705783962800656,1,squeeze_breakout & adx_rising & obv_confirm,5.847216369714285,0.2,0,,6.0984428571428575,0.17294830435124717,1,trend_momo_volume: +DI>-DI & ADX↑ & CCI/ROC & OBV_breakout,5.984006220542488,5.972995587681728,5.5621561493259275,0.05154531414932517,0.003022286112201307,0.04852302803712386,64.77272727272731,0.12785714285714286,998252780.0,5.958452083999999,6.237546682026932,5.679357485973067,0.09368023577008348,36.31284916201119,18.99441340782122,5.713634547200001,6.28,6.24,2483,B1,2483,S2,23,,5.847216369714285,0.2,squeeze_breakout & adx_rising & obv_confirm
2025-07-01,neutral,trend,30.669202945519032,0,,5.168864285714285,0.12740620454007234,1,squeeze_breakout & adx_rising & obv_confirm,5.009007142857143,0.2,0,,5.200471428571428,0.14983687435346538,1,trend_momo_volume: +DI>-DI & ADX↑ & CCI/ROC & OBV_breakout,5.122095700509972,5.071075326443376,4.819570477694863,0.02867469248791288,0.012531043395967863,0.016143649091945017,60.63829787234045,0.12642857142857147,775503410.0,5.119000000000001,5.299630474784944,4.938369525215057,0.07057256291656325,41.80790960451983,18.64406779661017,4.9309605968,5.38,5.16,2516,B1,2516,S2,25,,5.009007142857143,0.2,squeeze_breakout & adx_rising & obv_confirm
2025-07-01,neutral,range,16.434142541843435,0,,14.665292656435714,0.0745230423203261,1,squeeze_breakout & adx_rising & obv_confirm,13.795218266292856,0.14304997778729264,0,,14.823182977328571,0.08764329624996099,0,,14.578080162378537,14.544042542038135,13.189457208471003,0.15337936135638053,-0.017984909007173647,0.17136427036355417,71.94371328272845,0.6315612835714287,792033967.0,14.344676583,15.339810287478468,13.349542878521532,0.13874606356169913,36.53078358597522,12.153446183438303,14.1185875595695,15.72,14.76,2536,B1,2536,S2,18,,13.795218266292856,0.14304997778729264,squeeze_breakout & adx_rising & obv_confirm
2025-07-01,neutral,trend,35.94375035810797,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,13.446008228457142,0.0740252660305226,0,,13.477973875028571,0.14209447617353188,0,,13.591815379885714,0.08705788328941744,0,,14.14896884501479,13.728582380728188,13.258294171985192,0.2240951043941397,0.17968409562461227,0.044411008769527444,57.141792539058116,0.5832286057142857,623660365.0,13.985382762,14.875274320284944,13.095491203715056,0.12726023640953016,33.68053101373451,13.19747436256459,13.82973938505185,14.42,14.63,2590,B1,2590,S1,22,,13.446008228457142,0.0740252660305226,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
2025-07-01,neutral,trend,31.156869540992894,1,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm,11.818914285714285,0.062874251497006,0,,11.734057142857143,0.12068965517241383,0,,11.97177142857143,0.073943661971831,0,,12.483298256491869,12.283764022371223,12.033779211267273,0.22127912668145377,0.09893296732727458,0.1223461593541792,56.71378091872792,0.6114285714285713,1228710550.0,12.266,13.614970757749436,10.917029242250564,0.21995283837427623,37.032710280373834,27.5700934579439,11.732732003328001,12.84,13.08,2703,B1,2703,S1,20,,11.818914285714285,0.062874251497006,pullback_to_ema20 & macd_hist>0 & rsi_bull & obv_confirm
