threshold,precision,recall,f1,tp,fp,tn,fn,pred_pos,support_pos_rate
0.24,0.007989720667336464,0.9909578977112179,0.015851635561542045,3507,435432,224692,32,438939,0.005332525694516645
0.25,0.008195322236329244,0.990392766318169,0.016256127934103547,3505,424178,235946,34,427683,0.005332525694516645
0.26,0.008398798798798799,0.987849675049449,0.016655986698079273,3496,412754,247370,43,416250,0.005332525694516645
0.27,0.008599387170109716,0.9833286239050579,0.01704967186730652,3480,401200,258924,59,404680,0.005332525694516645
0.28,0.008819894100233467,0.9799378355467646,0.017482438164948922,3468,389734,270390,71,393202,0.005332525694516645
0.29,0.009068053658549374,0.9773947442780446,0.017969391253753367,3459,377990,282134,80,381449,0.005332525694516645
0.3,0.009323769660139668,0.9737213902232269,0.018470675257013604,3446,366147,293977,93,369593,0.005332525694516645
0.31,0.009597696329223629,0.9700480361684092,0.019007333298267856,3433,354257,305867,106,357690,0.005332525694516645
0.32,0.009872555336293849,0.9655269850240181,0.019545259545259548,3417,342694,317430,122,346111,0.005332525694516645
0.33,0.01015002168808053,0.9587454083074315,0.020087382779198637,3393,330892,329232,146,334285,0.005332525694516645
0.34,0.010441435883445302,0.9516812658943204,0.020656240417049988,3368,319193,340931,171,322561,0.005332525694516645
0.35,0.01076933973805875,0.9451822548742582,0.021296033971789922,3345,307259,352865,194,310604,0.005332525694516645
0.36,0.011138294917148892,0.9403786380333428,0.022015823873409012,3328,295461,364663,211,298789,0.005332525694516645
0.37,0.011486806542394605,0.9319016671376095,0.022693883729971682,3298,283814,376310,241,287112,0.005332525694516645
0.38,0.01185595809056675,0.9234246962418763,0.023411335298605566,3268,272374,387750,271,275642,0.005332525694516645
0.39,0.012223088392228689,0.9126871997739474,0.024123110014078034,3230,261024,399100,309,264254,0.005332525694516645
0.4,0.012616340826794817,0.902797400395592,0.024884921840315908,3195,250048,410076,344,253243,0.005332525694516645
0.41,0.013035335659893243,0.8929076010172365,0.02569554840886822,3160,239258,420866,379,242418,0.005332525694516645
0.42,0.013486802354687797,0.883017801638881,0.02656782020599625,3125,228583,431541,414,231708,0.005332525694516645
0.43,0.01383324138305281,0.8643684656682679,0.02723068637530989,3059,218075,442049,480,221134,0.005332525694516645
0.44,0.014340081048505728,0.8539135348968635,0.028206480396869474,3022,207716,452408,517,210738,0.005332525694516645
0.45,0.014810571151020002,0.8400678157671658,0.02910796283423245,2973,197762,462362,566,200735,0.005332525694516645
0.46,0.015278351485743866,0.8256569652444193,0.030001540120129372,2922,188329,471795,617,191251,0.005332525694516645
0.47,0.015787099684258007,0.8109635490251483,0.030971278725321454,2870,178924,481200,669,181794,0.005332525694516645
0.48,0.01633816525880349,0.7968352641989263,0.03201980231746158,2820,169782,490342,719,172602,0.005332525694516645
0.49,0.01686916173148544,0.7807290194970331,0.03302475960532843,2763,161027,499097,776,163790,0.005332525694516645
0.5,0.01754442524437108,0.7688612602430065,0.03430603097755167,2721,152371,507753,818,155092,0.005332525694516645
0.51,0.018203030654504022,0.7538852783272111,0.03554773896128121,2668,143901,516223,871,146569,0.005332525694516645
0.52,0.01898312932256851,0.7414523876801357,0.037018488082558004,2624,135604,524520,915,138228,0.005332525694516645
0.53,0.0197826820958286,0.7284543656400113,0.0385192932651003,2578,127738,532386,961,130316,0.005332525694516645
0.54,0.020491803278688523,0.7092398982763493,0.03983273425535798,2510,119978,540146,1029,122488,0.005332525694516645
0.55,0.02142819856971342,0.6959593105397005,0.041576286493193004,2463,112479,547645,1076,114942,0.005332525694516645
0.56,0.0224098220587689,0.6818310257134784,0.04339342714561885,2413,105263,554861,1126,107676,0.005332525694516645
0.57,0.023414692272555757,0.6662899124046341,0.045239579835963356,2358,98348,561776,1181,100706,0.005332525694516645
0.58,0.02457460872531878,0.6513139304888387,0.04736220270200853,2305,91491,568633,1234,93796,0.005332525694516645
0.59,0.0257954454379959,0.6366205142695677,0.04958186619718309,2253,85088,575036,1286,87341,0.005332525694516645
0.6,0.027133743815011786,0.6213619666572479,0.05199687876853232,2199,78844,581280,1340,81043,0.005332525694516645
0.61,0.028585161350618834,0.6049731562588302,0.05459088707004259,2141,72758,587366,1398,74899,0.005332525694516645
0.62,0.030093798853569567,0.5874540830743148,0.057254588766644174,2079,67005,593119,1460,69084,0.005332525694516645
0.63,0.03188570347241934,0.5713478383724215,0.06040057951100026,2022,61392,598732,1517,63414,0.005332525694516645
0.64,0.03361895074392704,0.5510031082226617,0.06337135614702155,1950,56053,604071,1589,58003,0.005332525694516645
0.65,0.035804079472201746,0.535179429217293,0.06711789928771396,1894,51005,609119,1645,52899,0.005332525694516645
0.66,0.037940210386262524,0.5156823961571065,0.07068027342615364,1825,46277,613847,1714,48102,0.005332525694516645
0.67,0.04031442493334559,0.49562023170387115,0.07456373413820223,1754,41754,618370,1785,43508,0.005332525694516645
0.68,0.04290185500903331,0.4764057643402091,0.07871515943788225,1686,37613,622511,1853,39299,0.005332525694516645
0.69,0.046010368533754085,0.4614297824244137,0.0836770771950501,1633,33859,626265,1906,35492,0.005332525694516645
0.7,0.04931748128577719,0.44306301215032495,0.08875555429768205,1568,30226,629898,1971,31794,0.005332525694516645
0.71,0.05248919650072023,0.42215315060751624,0.09336916442722329,1494,26969,633155,2045,28463,0.005332525694516645
0.72,0.055888853804862644,0.4001130262786098,0.09807792207792208,1416,23920,636204,2123,25336,0.005332525694516645
0.73,0.06048082477891837,0.38457191296976545,0.10452346209968512,1361,21142,638982,2178,22503,0.005332525694516645
0.74,0.06465712132629993,0.3636620514269568,0.10979355058863677,1287,18618,641506,2252,19905,0.005332525694516645
0.75,0.06886159445013079,0.3421870584910992,0.11465088757396451,1211,16375,643749,2328,17586,0.005332525694516645
0.76,0.07370864770748695,0.32297259112743715,0.12002520214218208,1143,14364,645760,2396,15507,0.005332525694516645
0.77,0.07870675151781142,0.3040406894602995,0.12504357931435212,1076,12595,647529,2463,13671,0.005332525694516645
0.78,0.08400902783582713,0.28397852500706416,0.12966068894336213,1005,10958,649166,2534,11963,0.005332525694516645
0.79,0.09053936283528614,0.2641989262503532,0.13486225299293236,935,9392,650732,2604,10327,0.005332525694516645
0.8,0.09956906327965526,0.24809268154846,0.14210568908311078,878,7940,652184,2661,8818,0.005332525694516645
0.81,0.10874200426439233,0.2305736083639446,0.147785927737028,816,6688,653436,2723,7504,0.005332525694516645
0.82,0.118439605201316,0.2136196665724781,0.15238863132432978,756,5627,654497,2783,6383,0.005332525694516645
0.83,0.12920718025430067,0.19525289629838938,0.15550804545966018,691,4657,655467,2848,5348,0.005332525694516645
0.84,0.1411606542684293,0.1780163888103984,0.15746063484128967,630,3833,656291,2909,4463,0.005332525694516645
0.85,0.14917276918904257,0.15541113308844307,0.15222806531967892,550,3137,656987,2989,3687,0.005332525694516645
0.86,0.15834710743801653,0.13534896863520768,0.1459475929311395,479,2546,657578,3060,3025,0.005332525694516645
0.87,0.17132442284325639,0.11952528962983894,0.14081225033288947,423,2046,658078,3116,2469,0.005332525694516645
0.88,0.18358208955223881,0.10426674201751908,0.13299693638493423,369,1641,658483,3170,2010,0.005332525694516645
0.89,0.20089001907183726,0.08929076010172365,0.1236306729264476,316,1257,658867,3223,1573,0.005332525694516645
0.9,0.21913327882256745,0.07572760666855044,0.11255774884502309,268,955,659169,3271,1223,0.005332525694516645
0.91,0.2448087431693989,0.06329471602147499,0.10058374494836102,224,691,659433,3315,915,0.005332525694516645
0.92,0.2634730538922156,0.04973156258830178,0.08367007368671261,176,492,659632,3363,668,0.005332525694516645
0.93,0.3022774327122153,0.041254591692568524,0.07260069617105917,146,337,659787,3393,483,0.005332525694516645
0.94,0.37969924812030076,0.028539135348968635,0.0530880420499343,101,165,659959,3438,266,0.005332525694516645
0.95,0.4472049689440994,0.020344730149759818,0.03891891891891892,72,89,660035,3467,161,0.005332525694516645
0.96,0.5052631578947369,0.013563153433173212,0.026417171161254818,48,47,660077,3491,95,0.005332525694516645
0.97,0.5365853658536586,0.006216445323537723,0.01229050279329609,22,19,660105,3517,41,0.005332525694516645
0.98,0.6521739130434783,0.004238485447866629,0.008422234699606963,15,8,660116,3524,23,0.005332525694516645
0.99,0.875,0.0019779598756710934,0.0039469974626444885,7,1,660123,3532,8,0.005332525694516645
1.0,0.0,0.0,0.0,0,0,660124,3539,0,0.005332525694516645
