threshold,precision,recall,f1,tp,fp,tn,fn,pred_pos,support_pos_rate
0.0,0.005332525694516645,1.0,0.010608481389444277,3539,660124,0,0,663663,0.005332525694516645
0.01,0.005508694210656576,1.0,0.010957029496360557,3539,638900,21224,0,642439,0.005332525694516645
0.02,0.005577549849647286,1.0,0.011093226674523978,3539,630969,29155,0,634508,0.005332525694516645
0.03,0.005632390622761925,1.0,0.011201688957679519,3539,624791,35333,0,628330,0.005332525694516645
0.04,0.005685779927060071,1.0,0.011307269209817101,3539,618891,41233,0,622430,0.005332525694516645
0.05,0.005742473044127311,1.0,0.011419370660058338,3539,612746,47378,0,616285,0.005332525694516645
0.06,0.005803437458491238,1.0,0.011539903806961769,3539,606272,53852,0,609811,0.005332525694516645
0.07,0.005869552958659373,1.0,0.011670604685060208,3539,599403,60721,0,602942,0.005332525694516645
0.08,0.00594431259122647,1.0,0.011818373078554278,3539,591820,68304,0,595359,0.005332525694516645
0.09,0.006025563098150787,1.0,0.01197894629952443,3539,583792,76332,0,587331,0.005332525694516645
0.1,0.006112537005115946,1.0,0.012150801784681198,3539,575435,84689,0,578974,0.005332525694516645
0.11,0.006206855427096195,1.0,0.012337136034442189,3539,566637,93487,0,570176,0.005332525694516645
0.12,0.006302427449939523,0.9997174343034756,0.01252588907967641,3538,557833,102291,1,561371,0.005332525694516645
0.13,0.006407818335271254,0.9997174343034756,0.012734016344027196,3538,548600,111524,1,552138,0.005332525694516645
0.14,0.006519483821987503,0.9997174343034756,0.012954487202958515,3538,539143,120981,1,542681,0.005332525694516645
0.15,0.006638434245164244,0.9997174343034756,0.01318928752497689,3538,529419,130705,1,532957,0.005332525694516645
0.16,0.006761962479424478,0.9994348686069511,0.013433039885152636,3537,519536,140588,2,523073,0.005332525694516645
0.17,0.0068895623617458756,0.9988697372139023,0.013684736196224019,3535,509560,150564,4,513095,0.005332525694516645
0.18,0.0070284478165088,0.9988697372139023,0.01395867678851716,3535,499421,160703,4,502956,0.005332525694516645
0.19,0.007164495269322934,0.9977394744278044,0.01422683153835926,3531,489316,170808,8,492847,0.005332525694516645
0.2,0.00731761432087604,0.9971743430347556,0.014528612597776863,3529,478732,181392,10,482261,0.005332525694516645
0.21,0.007466530988647566,0.9951963831590845,0.014821859928794472,3522,468183,191941,17,471705,0.005332525694516645
0.22,0.0076347467736688,0.9946312517660356,0.015153178400693947,3520,457530,202594,19,461050,0.005332525694516645
0.23,0.007807691709493433,0.992935857586889,0.015493553905574858,3514,446555,213569,25,450069,0.005332525694516645
